Mäntylä R, Männistö PT, Vuorela A, Sundberg S, Ottoila P. Impairment of captopril bioavailability by concomitant food and antacid intake. Int J Clin Pharmacol Ther Toxicol (1984) 22, 626–9.	6389377
Singhvi SM, McKinstry DN, Shaw JM, Willard DA, Migdalof BH. Effect of food on the bioavailability of captopril in healthy subjects. J Clin Pharmacol (1982) 22, 135–40.	7040498
Öhman KP, Kågedal B, Larsson R, Karlberg BE. Pharmacokinetics of captopril and its effects on blood pressure during acute and chronic administration and in relation to food intake. J Cardiovasc Pharmacol (1985) 7 (Suppl 1), S20–S24.	2580171
Müller H-M, Overlack A, Heck I, Kolloch R, Stumpe KO. The influence of food intake on pharmacodynamics and plasma concentration of captopril. J Hypertens (1985) 3 (Suppl 2), S135–S136.	3910768
Salvetti A, Pedrinelli R, Magagna A, Abdel-Haq B, Graziadei L, Taddei S, Stornello M. Influence of food on acute and chronic effects of captopril in essential hypertensive patients. J Cardiovasc Pharmacol (1985) 7 (Suppl 1), S25–S29.	2580172
Mojaverian P, Rocci ML, Vlasses PH, Hoholick C, Clementi RA, Ferguson RK. Effect of food on the bioavailability of lisinopril, a nonsulfhydryl angiotensin-converting enzyme inhibitor. J Pharm Sci (1986) 75, 395–7.	3014110
Swanson BN, Vlasses PH, Ferguson RK, Bergquist PA, Till AE, Irvin JD, Harris K. Influence of food on the bioavailability of enalapril. J Pharm Sci (1984) 73, 1655–7.	6097665
Massarella JW, DeFeo TM, Brown AN, Lin A, Wills RJ. The influence of food on the pharmacokinetics and ACE inhibition of cilazapril. Br J Clin Pharmacol (1989) 27, 205S–209S.	2527534
Ferry JJ, Horvath AM, Sedman AJ, Latts JR, Colburn WA. Influence of food on the pharmacokinetics of quinapril and its active diacid metabolite, CI-928. J Clin Pharmacol (1987) 27, 397–9.	3693584
Grass P, Gerbeau C, Kutz K. Spirapril: pharmacokinetic properties and drug interactions. Blood Pressure (1994) 3 (Suppl 2), 7–13.	8061850
Lecocq B, Funck-Brentano C, Lecocq V, Ferry A, Gardin M-E, Devissaguet M, Jaillon P. Influence of food on the pharmacokinetics of perindopril and the time course of angiotensin-converting enzyme inhibition in serum. Clin Pharmacol Ther (1990) 47, 397–402.	2311339
Zaidenstein R, Soback S, Gips M, Avni B, Dishi V, Weissgarten Y, Golik A, Scapa E. Effect of grapefruit juice on the pharmacokinetics of losartan and its active metabolite E3174 in healthy volunteers. Ther Drug Monit (2001) 23, 369–73.	11477318
Mattila MJ, Aranko K, Seppala T. Acute effects of buspirone and alcohol on psychomotor skills. J Clin Psychiatry (1982) 43, 56–60.	6130074
Seppälä T, Aranko K, Mattila MJ, Shrotriya RC. Effects of alcohol on buspirone and lorazepam actions. Clin Pharmacol Ther (1982) 32, 201–7.	6124334
Rush CR, Griffiths RR. Acute participant-rated and behavioral effects of alprazolam and buspirone, alone and in combination with ethanol, in normal volunteers. Exp Clin Psychopharmacol (1997) 5, 28–38.	9234037
Erwin CW, Linnoila M, Hartwell J, Erwin A, Guthrie S. Effects of buspirone and diazepam, alone and in combination with alcohol, on skilled performance and evoked potentials. J Clin Psychopharmacol (1986) 6, 199–209.	3734141
Evans SM, Levin FR. The effects of alprazolam and buspirone in light and moderate female social drinkers. Behav Pharmacol (2002) 13, 427–39.	12394419
Lewis W, Schwartz L. An occupational agent (N-butyraldoxime) causing reaction to alcohol. Med Ann Dist Columbia (1956) 25, 485–90.	13358299
Franks HM, Hagedorn H, Hensley VR, Hensley WJ, Starmer GA. The effect of caffeine on human performance, alone and in combination with alcohol. Psychopharmacologia (1975) 45, 177–81.	1215448
